year,state,division,total_population,fss,homicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,firearm_suicides,total_suicides,firearm_homicides,nonfirearm_homicides,total_homicides,white_fss,nonwhite_fss,nextyearfss,nextyearnonwhitefss,nextyearwhitefss
1951,District of Columbia,South Atlantic,798355.8,0.205882353,11.14791175,3.006178448,8.141733297,21,102,24,65,89,0.195402294,0.190476194,0.283783793,0.25,0.293103456
1951,Florida,South Atlantic,2989330.5,0.484567901,10.63783345,5.619987485,5.017845969,157,324,168,150,318,0.487096786,0.428571433,0.524216533,0.545454562,0.519637465
1951,Georgia,South Atlantic,3494431.8,0.715277778,13.39273527,7.583493259,5.809242006,206,288,265,203,468,0.734126985,0.583333313,0.677902639,0.631578922,0.681451619
1951,Idaho,Mountain,596492.4,0.614285714,2.849994401,1.676467294,1.173527106,43,70,10,7,17,0.614285707,NA,0.680000007,1,0.671232879
1951,Illinois,East North Central,8363074.2,0.389074693,4.507911696,2.271891836,2.23601986,349,897,190,187,377,0.385416657,0.484848499,0.424625993,0.461538464,0.423487544
1951,Indiana,East North Central,4007051.4,0.461206897,3.992961009,1.971524498,2.021436511,214,464,79,81,160,0.460000008,0.5,0.453441292,0.428571433,0.453798771
1951,Iowa,West North Central,2634719.4,0.401734104,1.518188237,0.721139412,0.797048824,139,346,19,21,40,0.399416924,0.666666687,0.457413256,NA,0.457413256
1951,Kansas,West North Central,1932630.2,0.547717842,2.483661903,1.500545733,0.98311617,132,241,29,19,48,0.548117161,0.5,0.628571451,0.75,0.623762369
1951,Kentucky,East South Central,2954141,0.525951557,7.650278033,5.449976829,2.200301204,152,289,161,65,226,0.526501775,0.5,0.618055582,0.545454562,0.620938599
1951,Louisiana,West South Central,2740866.6,0.635761589,8.756354651,4.414662136,4.341692514,96,151,121,119,240,0.664122164,0.449999988,0.677018642,0.777777791,0.664335668
1951,Maine,New England,919323.1,0.529850746,2.284289386,0.870205481,1.414083906,71,134,8,13,21,0.529850721,NA,0.504065037,NA,0.504065037
1951,Maryland,South Atlantic,2418769.8,0.46835443,5.870752975,2.604629841,3.266123134,111,237,63,79,142,0.463302761,0.526315808,0.42259413,0.3125,0.430493265
1951,Massachusetts,New England,4736320.4,0.210643016,0.992331515,0.295588111,0.696743404,95,451,14,33,47,0.209932283,0.25,0.213917524,0.142857149,0.215223104
1951,Michigan,East North Central,6516908.8,0.411764706,3.72876171,1.749295617,1.979466093,259,629,114,129,243,0.417637259,0.285714298,0.41538462,0.479999989,0.413043469
1951,Minnesota,West North Central,3025621.1,0.382758621,1.322042605,0.495765977,0.826276628,111,290,15,25,40,0.382758617,NA,0.414715707,0,0.417508423
1951,Mississippi,East South Central,2178836.7,0.789473684,12.25424558,7.205679985,5.048565595,105,133,157,110,267,0.786324799,0.8125,0.689655185,0.727272749,0.680851042
1951,Missouri,West North Central,3991169,0.5,4.986007859,2.906416641,2.079591218,210,420,116,83,199,0.504901946,0.333333343,0.521348298,0.600000024,0.520454526
1951,Montana,Mountain,599398.3,0.573170732,2.168841653,1.334671787,0.834169867,47,82,8,5,13,0.573170722,NA,0.666666687,0.666666687,0.666666687
1951,Nebraska,West North Central,1334092,0.523178808,0.97444554,0.299829397,0.674616143,79,151,4,9,13,0.530201316,0,0.5,0.833333313,0.486111104
1951,Nevada,Mountain,172602.5,0.568627451,9.269854145,1.158731768,8.111122377,29,51,2,14,16,0.551020384,1,0.438596487,0.25,0.452830195
1951,New Hampshire,New England,540609.9,0.408602151,0.554928794,0,0.554928794,38,93,0,3,3,0.408602148,NA,0.454545468,NA,0.454545468
1951,New Jersey,Middle Atlantic,4958474.3,0.217221135,2.581439214,1.028542187,1.552897027,111,511,51,77,128,0.217479676,0.210526317,0.257510722,0.421052635,0.25055927
1951,New Mexico,Mountain,708170.6,0.597014925,5.648356484,2.824178242,2.824178242,40,67,20,20,40,0.59677422,0.600000024,0.722222209,0.333333343,0.739130437
1951,New York,Middle Atlantic,15025403.2,0.202797203,2.495773291,0.698816522,1.79695677,290,1430,105,270,375,0.207630232,0.104477614,0.211247295,0.15384616,0.212908015
1951,North Carolina,South Atlantic,4111351.6,0.681506849,8.172494904,4.742965793,3.429529112,199,292,195,141,336,0.691119671,0.606060624,0.74260354,0.848484874,0.731147528
1951,North Dakota,West North Central,620917,0.475409836,0.483156364,0.483156364,0,29,61,3,0,3,0.475409836,NA,0.566037714,1,0.557692289
1951,Ohio,East North Central,8122604,0.43626943,3.754953461,2.080613557,1.674339904,421,965,169,136,305,0.435622305,0.454545468,0.319814593,0.363636374,0.437574327
1951,Oklahoma,West South Central,2242844.3,0.664772727,4.815314197,2.898105767,1.91720843,117,176,65,43,108,0.670588255,0.5,0.634146333,0.666666687,0.632258058
1951,Oregon,Pacific,1546075.6,0.468085106,1.746357035,1.099558133,0.646798902,110,235,17,10,27,0.480349332,0,0.483193278,0.444444448,0.484716147
1951,Pennsylvania,Middle Atlantic,10580147.4,0.356417359,2.797692592,1.049134722,1.74855787,386,1083,111,185,296,0.361376673,0.216216221,0.371204704,0.314285725,0.373225152
1951,Rhode Island,New England,798655.2,0.194444444,0.876473352,0.250420958,0.626052394,14,72,2,5,7,0.183098584,1,0.185185179,0,0.188679248
1951,South Carolina,South Atlantic,2143583.7,0.753846154,10.49644108,7.370834178,3.125606898,98,130,158,67,225,0.737288117,0.916666687,0.7218045,0.722222209,0.721739113
1951,South Dakota,West North Central,655517.4,0.432835821,0.915307511,0.305102504,0.610205008,29,67,2,4,6,0.432835817,NA,0.524590135,0,0.533333361
1951,Tennessee,East South Central,3319255.1,0.575,9.158681416,5.121631055,4.037050361,138,240,170,134,304,0.56422019,0.681818187,0.697777748,0.699999988,0.697674394
1951,Texas,West South Central,7898042.3,0.64516129,10.02780145,5.824228113,4.203573334,420,651,460,332,792,0.650485456,0.545454562,0.650159717,0.483870953,0.65882355
1951,Utah,Mountain,709038.5,0.4,1.12828852,0.705180325,0.423108195,22,55,5,3,8,0.400000006,NA,0.591549277,0.666666687,0.588235319
1951,Vermont,New England,378960.4,0.636363636,0.527759629,0.527759629,0,28,44,2,0,2,0.636363626,NA,0.600000024,NA,0.600000024
1951,Virginia,South Atlantic,3383506.9,0.608024691,8.541433741,4.551490644,3.989943097,197,324,154,135,289,0.596666694,0.75,0.578635037,0.642857134,0.572815537
1951,Washington,Pacific,2426388.1,0.442577031,2.390384292,1.360046235,1.030338057,158,357,33,25,58,0.439306349,0.545454562,0.402702689,0.5,0.401098907
1951,West Virginia,South Atlantic,1991038.9,0.599009901,4.972278543,3.415302433,1.556976109,121,202,68,31,99,0.603015065,0.333333343,0.64971751,1,0.643678188
1951,Wisconsin,East North Central,3486295.2,0.372222222,1.147349771,0.516307397,0.631042374,134,360,18,22,40,0.369014084,0.600000024,0.385204077,0.333333343,0.385604113
1951,Wyoming,Mountain,294482.7,0.782608696,3.056206697,2.377049654,0.679157044,36,46,7,2,9,0.777777791,1,0.690476179,NA,0.690476179
1952,Alabama,East South Central,3102742.4,0.728643216,13.05296888,7.058272063,5.99469682,145,199,219,186,405,0.732558131,0.703703701,0.694690287,0.703703701,0.686567187
1952,Arizona,Mountain,860101.8,0.573770492,8.254836811,4.185551059,4.069285752,70,122,36,35,71,0.596491218,0.25,0.582677186,0.600000024,0.580357134
1952,Arkansas,West South Central,1884863.2,0.676190476,6.790943767,3.872960117,2.91798365,71,105,73,55,128,0.680000007,0.600000024,0.715384603,0.833333313,0.709677398
